,residential,instit_communal_accom,pop_density,retail,jobs_density,btwn_centrality
Kilburn Park,0.14340951333865165,0.0027381009375442777,18018.099645935563,0.013825692254460271,6676.3166271690525,0.07316511118792488
King's Cross St. Pancras,0.16338616668741765,0.0020276145584448325,16588.923070401044,0.014913956386935892,69534.9164976476,0.2011169544439505
Kingsbury,0.12699729346780167,0.0014514447886245434,6032.205342546397,0.0069783862262881545,3260.4001335808466,0.02255444175596267
Knightsbridge,0.171573922138472,0.005665398773205102,5426.28706701888,0.02386654590179609,34225.07071872509,0.05619658471369514
Ladbroke Grove,0.20604653770520054,0.00571518654213731,13991.224569082597,0.019696292061513094,12360.806354426859,0.015541825095057043
Lambeth North,0.16431261184402143,0.002332206964418232,11845.334884754404,0.011026855463041451,64620.9447688038,0.004067528901179092
Lancaster Gate,0.1631903949073991,0.005604277914146541,11409.412957428738,0.02472731302306381,38655.11495561041,0.04852949648577027
Latimer Road,0.19698133525575878,0.004200058562205745,11106.626654198308,0.016091478049899077,18447.629280891982,0.010630544993662873
Leicester Square,0.1608128593026263,0.004764087785134486,6001.9213374694355,0.022636886460995344,185481.69250592415,0.005297177825694936
Leyton,0.12415549483843982,0.0008125370942326159,11511.540115042622,0.010534711315137939,8931.987595301385,0.1340880285747206
Leytonstone,0.12111316203383723,0.0007914332477495167,9919.001477235466,0.008727308330380065,4023.421940160095,0.12857184007374123
Liverpool Street LU,0.1380457255469652,0.0030366762713046913,7826.249911056481,0.028086007663998033,290002.70304369443,0.2581445909392676
London Bridge LU,0.13672024050192813,0.0019026710165373217,10987.67444728396,0.014322140806530978,200319.90198530187,0.03586722740715137
Loughton,0.010713089271946917,0.00017763880599616828,3162.524053261744,0.0007421338860570595,2279.361243205321,0.02255444175596267
Maida Vale,0.15615582202349076,0.004639708982163485,19114.529192739545,0.02102474475326562,7402.9974394878855,0.08016476552598226
Manor House,0.1619099290928212,0.001242695015210394,11683.382498413592,0.00865157704303611,4350.159247968581,0.05182048623113262
Mansion House,0.12056396828368898,0.0026717965553176475,4782.1233192764175,0.03271681200409235,331036.0982057357,0.0023140146714291203
Marble Arch,0.1628782086775975,0.0056020018923688564,9928.741576842072,0.024759366314586462,88611.40933051231,0.052302972692706555
Marylebone LU,0.1628782086775975,0.0056020018923688564,16278.576629467661,0.024759366314586462,54394.939542396554,0.0
Mile End,0.13201908879360713,0.0027119627797945857,17945.088079090943,0.012558176404669972,10104.368988790011,0.2373547396836367
Mill Hill East,0.09577283917284292,0.0011280245057029925,2845.0038107404466,0.0050222726130841515,1262.6114108370703,0.0
Moor Park,0.03113629003320173,0.0003345386100668852,714.7030568081465,0.0008368024830707105,2477.7102899391734,0.05210853784998272
Moorgate,0.14790444121282914,0.0032079705427955868,7261.359549763188,0.033287047493975847,312330.61573525576,0.08814166927284804
Morden,0.11093071409034404,0.0010006224977095175,5444.830385785194,0.007319219881660419,5608.179048430472,0.0
Mornington Crescent,0.15263062761518298,0.001865446346946025,13760.825523825217,0.015593106735438601,46542.68791801466,0.0
Neasden,0.129894788382635,0.0014532387542423445,7799.52067964853,0.007311876257819084,5002.446719970108,0.008483120175135384
Newbury Park,0.10493791136439426,0.0010771090776427806,7845.804944701815,0.0054706768764581125,3733.0504493550457,0.0182336674732112
North Acton,0.1163483556402803,0.002114350627858183,4389.047501445722,0.013903799661331567,9773.040092466897,0.06201271267811199
North Ealing,0.11344917319977788,0.0021287250414979203,5396.093209831737,0.014046192962743322,3464.3133409553357,0.038759014186770836
North Greenwich,0.09854516007776044,0.0012257031228391482,8032.360905971002,0.009254542310224741,11204.396334291585,0.00680089872105083
North Harrow,0.10748941039956901,0.0014393666064260765,5922.596484138019,0.00473310720742893,2932.903908640983,0.08016476552598226
North Wembley,0.129894788382635,0.0014532387542423445,7429.359949499727,0.007311876257819084,3252.459089839892,0.02255444175596267
Northfields,0.10871178735518375,0.0019604377134927534,7573.516722189371,0.012817684835037514,4397.281546441947,0.05899297154050006
Northolt,0.11239003499684803,0.00206466780027251,5748.077753933738,0.013196209990530674,3204.841900284316,0.02255444175596267
Northwick Park,0.12051903702409303,0.0014474338171940803,4941.070330379137,0.006232764919200508,8952.579254329312,0.14124444243265538
Northwood,0.05220140102007789,0.0011757349281061725,2940.3318502648867,0.003565817321055554,2208.9725780849108,0.05899297154050006
Northwood Hills,0.05827118000262943,0.0012693957154053439,3938.9507859545156,0.00389354038938205,2092.8159031942646,0.06610784652609748
Notting Hill Gate,0.1944820056363951,0.0058324122156602895,13808.684369110453,0.021514489954129717,19738.09769345705,0.13411443330644846
Oakwood,0.07873647841895928,0.0005679064465378422,3693.8469674393564,0.004668832569606173,1459.149541546116,0.007575757575757576
Old Street,0.17337186208256067,0.0022659525388668174,16542.411466179794,0.013749616408518513,156364.92359008922,0.04169680921106775
Osterley,0.08603970965876956,0.0011550518950230796,4499.737784409219,0.006938317471746751,3243.066276204787,0.04459039059799516
Oval,0.1709541193328496,0.0022898325678468185,14965.079576394905,0.010105333737221686,15174.009777581776,0.02890597995160731
Oxford Circus,0.16131634572791717,0.005032502843737437,9227.764766736416,0.023362310644899468,194873.5085618426,0.14661422755529202
Paddington TfL,0.1628782086775975,0.0056020018923688564,17473.951801392297,0.024759366314586462,43792.88332900354,0.18342310942120868
Park Royal,0.11558233009453533,0.0020411078733377813,3742.0904607858083,0.013172686319734695,9532.776470013974,0.03419579645815387
Parsons Green,0.17183001845605447,0.0019385007772653336,13902.183990584836,0.012168999577612832,12877.554739195735,0.037302684641087686
Perivale,0.11344917319977788,0.0021287250414979203,4198.076547822489,0.014046192962743322,4198.038919615467,0.037302684641087686
Piccadilly Circus,0.1618832058936434,0.005239195963101233,5240.492162534333,0.023869355906847512,180857.9293660446,0.011867955309019934
Pimlico,0.16527402326137197,0.00405816655222222,19277.070326972735,0.01869048107597014,59907.68926389442,0.05940104466720436
Pinner,0.10665655282980299,0.001436490405024994,3945.158103366198,0.004718900285032587,2215.9534092288236,0.07316511118792488
Plaistow,0.11700216619069384,0.0012808864738251455,12924.935465901282,0.01576072415416054,3451.16823534217,0.08016476552598226
Preston Road,0.129894788382635,0.0014532387542423445,5595.53006187614,0.007311876257819084,2668.2897068617704,0.14617012511499206
Putney Bridge,0.16402280735973906,0.0014129398748809643,11040.31180920681,0.010681468921190658,12716.942092181354,0.029957368360410186
Queen's Park,0.13666231303793483,0.0022478289083292446,15565.946659472569,0.010640151517660835,6398.619188426746,0.06610784652609748
Queensbury,0.11374043715279332,0.001443236890033419,8570.969242735735,0.0054525752894474125,3129.571757977934,0.015093904827745133
Queensway,0.17520957751868022,0.0056919048456438685,14159.052611888026,0.02349325998892347,28030.10486618826,0.04543294158313172
Ravenscourt Park,0.12924747641921658,0.0014983448788020914,10009.533207634797,0.008816298509181985,26385.716020954093,0.0029669316741560087
Rayners Lane,0.10748941039956901,0.0014393666064260765,6710.332772057772,0.00473310720742893,1875.190480676298,0.0809912450596861
Redbridge,0.10493791136439426,0.0010771090776427806,4792.429016536562,0.0054706768764581125,2021.355508155125,0.032621845834773594
Regent's Park,0.15909370071827852,0.004222064118179801,12160.953635318172,0.021374198427337232,112848.78698666576,0.022934875644001117
Richmond,0.08018700899010804,0.0008906317157960336,5102.665048513201,0.003469846152963462,10472.640505059564,0.0
Rickmansworth,0.03113629003320173,0.0003345386100668852,1788.4227843831927,0.0008368024830707105,2999.9375476139344,0.029957368360410186
Roding Valley,0.02324050909382911,0.0002972255715637812,3163.455762701757,0.0013708052050482834,1296.7411897388897,0.01902580942504897
Royal Oak,0.1645909645562631,0.005614488893099721,21457.99586746537,0.02458351146179262,28634.180212540334,0.02739514921073854
Ruislip,0.054194269685262905,0.0012553164591284358,4274.847456583475,0.0038239962673157113,3787.965122906218,0.02255444175596267
Ruislip Gardens,0.054194269685262905,0.0012553164591284358,3865.016204817908,0.0038239962673157113,1737.2667324806923,0.007575757575757576
Ruislip Manor,0.054194269685262905,0.0012553164591284358,5191.363075994167,0.0038239962673157113,3002.188404800075,0.029957368360410186
Russell Square,0.15456524631931395,0.001895675502291632,14719.517087584483,0.015494032973300379,140065.494647572,0.007278104236279137
Seven Sisters,0.15271559485430106,0.0009633821583840801,13161.74400618004,0.008595815899844384,6977.6311326145005,0.02255444175596267
Shepherd's Bush LU,0.18631929045751794,0.0032413481054582674,12497.697186615622,0.014428676792823622,19987.776753979837,0.06544052694242807
Shepherd's Bush Market,0.17586175987731958,0.0023010271718370877,13959.959226988763,0.012797770590147771,19708.413236210046,0.006661193685908515
Sloane Square,0.18555449517898007,0.005767325397979413,11642.486508156173,0.022431109804547152,41541.254626492555,0.10693447694398263
Snaresbrook,0.10860886130601699,0.0010122753577517603,5198.96295794747,0.006209764714413284,2542.5042483098637,0.0755703422053232
South Ealing,0.10915019314404345,0.0019760113106641526,7162.174173442173,0.012931373078409547,4425.8955087203885,0.06610784652609748
South Harrow,0.10812771094600729,0.001513198045788523,6525.22238897737,0.00573055424113223,3030.5106092975643,0.041271327250414706
